EmployeeID,FirstName,LastName,FullName,Gender,Email,Phone,StoreID,Department,JobTitle,HireDate,Salary,EmploymentType,IsActive
EMP-00025,Eman,Al-Fahad,Eman Al-Fahad,F,eman.alfahad813@srg.com.sa,+966514607488,SRG-002,Management,Operations Manager,2024-10-14,11249,Part-Time,1
EMP-00026,Ibrahim,Al-Zahrani,Ibrahim Al-Zahrani,M,ibrahim.alzahrani438@srg.com.sa,+966555276341,SRG-002,HR,Training Officer,2022-12-04,4280,Full-Time,1
EMP-00027,Sarah,Al-Qahtani,Sarah Al-Qahtani,F,sarah.alqahtani382@srg.com.sa,+966522006313,SRG-002,Cashier,Cashier,2022-02-24,6026,Contract,1
EMP-00028,Rasha,Al-Harbi,Rasha Al-Harbi,F,rasha.alharbi615@srg.com.sa,+966546899644,SRG-002,Maintenance,Maintenance Supervisor,2022-12-02,17425,Full-Time,1
EMP-00029,Saad,Al-Saleh,Saad Al-Saleh,M,saad.alsaleh118@srg.com.sa,+966544794319,SRG-002,HR,HR Manager,2017-06-28,20044,Part-Time,1
EMP-00030,Nawaf,Al-Sheikh,Nawaf Al-Sheikh,M,nawaf.alsheikh944@srg.com.sa,+966556889195,SRG-002,Management,Store Manager,2018-05-23,18124,Full-Time,1
EMP-00031,Talal,Al-Saleh,Talal Al-Saleh,M,talal.alsaleh32@srg.com.sa,+966519900022,SRG-002,Maintenance,Maintenance Technician,2018-12-21,6980,Full-Time,1
EMP-00032,Khadija,Al-Zahrani,Khadija Al-Zahrani,F,khadija.alzahrani905@srg.com.sa,+966503610197,SRG-002,Inventory,Warehouse Supervisor,2020-12-11,10783,Full-Time,1
EMP-00033,Mishari,Al-Qahtani,Mishari Al-Qahtani,M,mishari.alqahtani425@srg.com.sa,+966544616647,SRG-002,Management,Operations Manager,2022-08-20,22484,Contract,1
EMP-00034,Amal,Al-Harbi,Amal Al-Harbi,F,amal.alharbi226@srg.com.sa,+966561919088,SRG-002,Management,Operations Manager,2024-11-10,9488,Full-Time,1
EMP-00035,Reem,Al-Juhani,Reem Al-Juhani,F,reem.aljuhani510@srg.com.sa,+966563947669,SRG-002,Inventory,Warehouse Supervisor,2020-06-04,8253,Full-Time,1
EMP-00036,Sami,Al-Sabah,Sami Al-Sabah,M,sami.alsabah20@srg.com.sa,+966572306317,SRG-002,Security,Security Guard,2022-12-02,4786,Full-Time,1
EMP-00037,Wafa,Al-Malki,Wafa Al-Malki,F,wafa.almalki176@srg.com.sa,+966598719145,SRG-002,Maintenance,Maintenance Supervisor,2017-07-01,18642,Full-Time,1
EMP-00038,Faten,Al-Harbi,Faten Al-Harbi,F,faten.alharbi406@srg.com.sa,+966546696087,SRG-002,Customer Service,Customer Service Lead,2025-07-17,5644,Full-Time,1
EMP-00039,Khalid,Al-Fahad,Khalid Al-Fahad,M,khalid.alfahad360@srg.com.sa,+966524963933,SRG-002,Cashier,Head Cashier,2024-04-25,7862,Full-Time,1
EMP-00040,Reem,Al-Shammari,Reem Al-Shammari,F,reem.alshammari506@srg.com.sa,+966578531380,SRG-002,Marketing,Visual Merchandiser,2017-03-25,5572,Contract,0
EMP-00041,Faten,Al-Khaldi,Faten Al-Khaldi,F,faten.alkhaldi647@srg.com.sa,+966545608259,SRG-002,Security,Security Guard,2023-02-16,4811,Contract,1
EMP-00042,Mona,Al-Qahtani,Mona Al-Qahtani,F,mona.alqahtani852@srg.com.sa,+966542287332,SRG-002,Management,Operations Manager,2023-01-02,20082,Full-Time,1
EMP-00043,Khadija,Al-Hussein,Khadija Al-Hussein,F,khadija.alhussein668@srg.com.sa,+966536394323,SRG-002,IT Support,Systems Administrator,2016-08-26,5341,Contract,1
EMP-00044,Mohammed,Al-Khalifa,Mohammed Al-Khalifa,M,mohammed.alkhalifa41@srg.com.sa,+966538344365,SRG-002,Cashier,Senior Cashier,2017-09-21,6413,Part-Time,1
EMP-00045,Ali,Al-Bishi,Ali Al-Bishi,M,ali.albishi809@srg.com.sa,+966552105817,SRG-002,Management,Operations Manager,2022-06-22,9715,Full-Time,1
EMP-00046,Dana,Al-Ghamdi,Dana Al-Ghamdi,F,dana.alghamdi145@srg.com.sa,+966556204824,SRG-002,Marketing,Visual Merchandiser,2021-02-19,5718,Part-Time,1
EMP-00047,Yasser,Al-Sabah,Yasser Al-Sabah,M,yasser.alsabah849@srg.com.sa,+966582567880,SRG-002,Maintenance,Cleaner,2021-03-22,5878,Part-Time,1
EMP-00048,Fatima,Al-Bishi,Fatima Al-Bishi,F,fatima.albishi197@srg.com.sa,+966533307963,SRG-002,Management,Assistant Manager,2019-06-25,23934,Full-Time,1
EMP-00049,Faten,Al-Mutawa,Faten Al-Mutawa,F,faten.almutawa678@srg.com.sa,+966553198638,SRG-002,Cashier,Head Cashier,2024-12-17,5309,Contract,1
EMP-00050,Abdullah,Al-Shammari,Abdullah Al-Shammari,M,abdullah.alshammari693@srg.com.sa,+966538452417,SRG-002,Marketing,Visual Merchandiser,2023-01-14,4492,Contract,1
EMP-00051,Rana,Al-Sabah,Rana Al-Sabah,F,rana.alsabah970@srg.com.sa,+966598391997,SRG-002,Customer Service,Customer Service Lead,2023-04-12,10556,Part-Time,1
EMP-00052,Mona,Al-Fahad,Mona Al-Fahad,F,mona.alfahad257@srg.com.sa,+966509062973,SRG-002,Maintenance,Maintenance Technician,2019-10-05,6575,Full-Time,1
EMP-00053,Bander,Al-Baqmi,Bander Al-Baqmi,M,bander.albaqmi280@srg.com.sa,+966579612629,SRG-002,IT Support,IT Technician,2020-02-25,3656,Full-Time,1
EMP-00054,Hatem,Al-Shehri,Hatem Al-Shehri,M,hatem.alshehri515@srg.com.sa,+966554955699,SRG-002,HR,Recruiter,2016-07-02,4623,Part-Time,1
EMP-00055,Rana,Al-Rashid,Rana Al-Rashid,F,rana.alrashid294@srg.com.sa,+966573328554,SRG-002,Security,Security Guard,2021-03-05,3156,Part-Time,1
EMP-00056,Waleed,Al-Qahtani,Waleed Al-Qahtani,M,waleed.alqahtani114@srg.com.sa,+966544986941,SRG-002,Sales Floor,Department Supervisor,2019-03-18,21869,Full-Time,1
EMP-00057,Ibrahim,Al-Khaldi,Ibrahim Al-Khaldi,M,ibrahim.alkhaldi512@srg.com.sa,+966599993490,SRG-003,Marketing,Social Media Specialist,2017-02-27,6707,Full-Time,0
EMP-00058,Bander,Al-Dosari,Bander Al-Dosari,M,bander.aldosari585@srg.com.sa,+966564142605,SRG-003,Management,Operations Manager,2016-10-12,15882,Full-Time,1
EMP-00059,Sarah,Al-Fahad,Sarah Al-Fahad,F,sarah.alfahad895@srg.com.sa,+966571730386,SRG-003,IT Support,Systems Administrator,2024-09-01,4599,Part-Time,1
EMP-00060,Nada,Al-Rashid,Nada Al-Rashid,F,nada.alrashid644@srg.com.sa,+966516578736,SRG-003,Security,Security Guard,2021-04-24,5691,Full-Time,1
EMP-00061,Samar,Al-Zahrani,Samar Al-Zahrani,F,samar.alzahrani139@srg.com.sa,+966518678589,SRG-003,Inventory,Receiving Clerk,2023-11-06,6323,Full-Time,1
EMP-00062,Mohammed,Al-Mutawa,Mohammed Al-Mutawa,M,mohammed.almutawa835@srg.com.sa,+966588942330,SRG-003,Customer Service,Service Representative,2021-05-17,4631,Full-Time,1
EMP-00063,Yasser,Al-Bishi,Yasser Al-Bishi,M,yasser.albishi448@srg.com.sa,+966568377556,SRG-003,Sales Floor,Department Supervisor,2020-02-26,20059,Part-Time,1
EMP-00064,Majed,Al-Tamimi,Majed Al-Tamimi,M,majed.altamimi745@srg.com.sa,+966562324175,SRG-003,HR,Recruiter,2024-05-26,3338,Part-Time,1
EMP-00065,Badr,Al-Anazi,Badr Al-Anazi,M,badr.alanazi314@srg.com.sa,+966578149041,SRG-003,Security,Security Guard,2017-06-22,4210,Full-Time,0
EMP-00066,Hana,Al-Khalifa,Hana Al-Khalifa,F,hana.alkhalifa77@srg.com.sa,+966567095349,SRG-003,Sales Floor,Department Supervisor,2025-07-09,9879,Contract,0
EMP-00067,Ahmed,Al-Dosari,Ahmed Al-Dosari,M,ahmed.aldosari798@srg.com.sa,+966557075878,SRG-003,Marketing,Social Media Specialist,2016-03-03,3966,Part-Time,1
EMP-00068,Nawaf,Al-Dosari,Nawaf Al-Dosari,M,nawaf.aldosari588@srg.com.sa,+966529882862,SRG-003,HR,Recruiter,2021-08-25,3314,Full-Time,1
EMP-00069,Ghada,Al-Ghamdi,Ghada Al-Ghamdi,F,ghada.alghamdi531@srg.com.sa,+966562975701,SRG-003,Customer Service,Service Representative,2016-12-06,5044,Full-Time,1
EMP-00070,Reem,Al-Mahmoud,Reem Al-Mahmoud,F,reem.almahmoud463@srg.com.sa,+966528467726,SRG-003,Management,Operations Manager,2019-02-05,10426,Full-Time,0
EMP-00071,Rasha,Al-Bishi,Rasha Al-Bishi,F,rasha.albishi162@srg.com.sa,+966527064832,SRG-003,Cashier,Head Cashier,2024-05-10,11974,Contract,1
EMP-00072,Turki,Al-Dosari,Turki Al-Dosari,M,turki.aldosari378@srg.com.sa,+966573177199,SRG-004,Customer Service,Customer Service Lead,2016-06-18,9688,Contract,1
EMP-00073,Yasser,Al-Malki,Yasser Al-Malki,M,yasser.almalki996@srg.com.sa,+966552244282,SRG-004,HR,Training Officer,2022-10-03,3513,Part-Time,1
EMP-00074,Huda,Al-Habib,Huda Al-Habib,F,huda.alhabib133@srg.com.sa,+966569436654,SRG-004,IT Support,Systems Administrator,2025-03-25,6957,Full-Time,1
EMP-00075,Yasser,Al-Shammari,Yasser Al-Shammari,M,yasser.alshammari867@srg.com.sa,+966515204459,SRG-004,Inventory,Warehouse Supervisor,2019-06-17,17307,Full-Time,0
EMP-00076,Huda,Al-Khaldi,Huda Al-Khaldi,F,huda.alkhaldi176@srg.com.sa,+966596664316,SRG-004,Management,Store Manager,2024-11-06,13052,Contract,1
EMP-00077,Khalid,Al-Otaibi,Khalid Al-Otaibi,M,khalid.alotaibi510@srg.com.sa,+966585859883,SRG-004,Marketing,Marketing Manager,2019-10-14,8992,Full-Time,1
EMP-00078,Turki,Al-Mutawa,Turki Al-Mutawa,M,turki.almutawa162@srg.com.sa,+966577972975,SRG-004,Maintenance,Maintenance Supervisor,2023-02-23,9963,Part-Time,1
EMP-00079,Omar,Al-Mahmoud,Omar Al-Mahmoud,M,omar.almahmoud999@srg.com.sa,+966563193891,SRG-004,Inventory,Warehouse Supervisor,2021-12-28,19317,Full-Time,1
EMP-00080,Omar,Al-Shehri,Omar Al-Shehri,M,omar.alshehri100@srg.com.sa,+966505868949,SRG-004,HR,HR Coordinator,2020-08-08,3577,Part-Time,1
EMP-00081,Rana,Al-Baqmi,Rana Al-Baqmi,F,rana.albaqmi782@srg.com.sa,+966529359508,SRG-004,Inventory,Warehouse Supervisor,2025-12-11,14220,Contract,1
EMP-00082,Sana,Al-Anazi,Sana Al-Anazi,F,sana.alanazi990@srg.com.sa,+966534609524,SRG-004,HR,HR Coordinator,2017-07-17,4872,Contract,1
EMP-00083,Mohammed,Al-Anazi,Mohammed Al-Anazi,M,mohammed.alanazi111@srg.com.sa,+966563247055,SRG-004,HR,Training Officer,2020-09-01,6470,Full-Time,0
EMP-00084,Shaima,Al-Malki,Shaima Al-Malki,F,shaima.almalki200@srg.com.sa,+966555841933,SRG-004,Security,Security Guard,2022-01-19,5301,Full-Time,1
EMP-00085,Shaima,Al-Sabah,Shaima Al-Sabah,F,shaima.alsabah814@srg.com.sa,+966557133857,SRG-004,Management,Store Manager,2018-02-13,20228,Full-Time,1
EMP-00086,Mona,Al-Otaibi,Mona Al-Otaibi,F,mona.alotaibi486@srg.com.sa,+966588666995,SRG-004,Sales Floor,Sales Associate,2018-12-11,6293,Full-Time,1
EMP-00087,Omar,Al-Sheikh,Omar Al-Sheikh,M,omar.alsheikh608@srg.com.sa,+966559511333,SRG-004,Marketing,Marketing Manager,2018-07-20,17805,Contract,1
EMP-00088,Heba,Al-Hussein,Heba Al-Hussein,F,heba.alhussein427@srg.com.sa,+966596161977,SRG-004,Management,Operations Manager,2016-06-11,11591,Full-Time,1
EMP-00089,Maha,Al-Khaldi,Maha Al-Khaldi,F,maha.alkhaldi537@srg.com.sa,+966597378535,SRG-004,Marketing,Visual Merchandiser,2016-10-16,3698,Full-Time,0
EMP-00090,Mohammed,Al-Hussein,Mohammed Al-Hussein,M,mohammed.alhussein156@srg.com.sa,+966564420734,SRG-004,Cashier,Cashier,2016-08-11,4715,Part-Time,1
EMP-00091,Bander,Al-Dosari,Bander Al-Dosari,M,bander.aldosari539@srg.com.sa,+966566263895,SRG-005,IT Support,IT Technician,2024-06-22,4959,Full-Time,1
EMP-00092,Samar,Al-Bishi,Samar Al-Bishi,F,samar.albishi231@srg.com.sa,+966545848684,SRG-005,Management,Operations Manager,2019-04-09,17781,Full-Time,0
EMP-00093,Lina,Al-Mansour,Lina Al-Mansour,F,lina.almansour693@srg.com.sa,+966587370211,SRG-005,Security,Loss Prevention Officer,2020-05-04,5348,Part-Time,1
EMP-00094,Yasser,Al-Otaibi,Yasser Al-Otaibi,M,yasser.alotaibi766@srg.com.sa,+966574590102,SRG-005,Management,Store Manager,2021-08-21,16403,Full-Time,1
EMP-00095,Bayan,Al-Sabah,Bayan Al-Sabah,F,bayan.alsabah249@srg.com.sa,+966509909397,SRG-005,Management,Assistant Manager,2017-10-24,15840,Full-Time,0
EMP-00096,Mohammed,Al-Harbi,Mohammed Al-Harbi,M,mohammed.alharbi6@srg.com.sa,+966583649811,SRG-005,Maintenance,Maintenance Supervisor,2023-02-22,12504,Part-Time,0
EMP-00097,Mariam,Al-Khaldi,Mariam Al-Khaldi,F,mariam.alkhaldi930@srg.com.sa,+966514896008,SRG-005,Customer Service,Customer Service Lead,2021-05-21,5484,Contract,0
EMP-00098,Hatem,Al-Sheikh,Hatem Al-Sheikh,M,hatem.alsheikh807@srg.com.sa,+966574125790,SRG-005,Inventory,Receiving Clerk,2018-01-27,4626,Full-Time,1
EMP-00099,Yasser,Al-Hussein,Yasser Al-Hussein,M,yasser.alhussein557@srg.com.sa,+966589286475,SRG-005,Marketing,Marketing Coordinator,2021-05-15,5626,Full-Time,1
EMP-00100,Maha,Al-Mutairi,Maha Al-Mutairi,F,maha.almutairi264@srg.com.sa,+966521236293,SRG-005,Cashier,Senior Cashier,2018-12-15,10310,Full-Time,1
EMP-00101,Abdullah,Al-Mahmoud,Abdullah Al-Mahmoud,M,abdullah.almahmoud686@srg.com.sa,+966514100114,SRG-005,Maintenance,Maintenance Supervisor,2024-06-03,21134,Full-Time,1
EMP-00102,Bayan,Al-Shehri,Bayan Al-Shehri,F,bayan.alshehri977@srg.com.sa,+966556065810,SRG-005,Sales Floor,Department Supervisor,2022-04-15,16748,Contract,0
EMP-00103,Sultan,Al-Khaldi,Sultan Al-Khaldi,M,sultan.alkhaldi477@srg.com.sa,+966543679603,SRG-005,Security,Loss Prevention Officer,2019-01-22,3484,Part-Time,0
EMP-00104,Heba,Al-Harbi,Heba Al-Harbi,F,heba.alharbi490@srg.com.sa,+966528633275,SRG-005,Management,Regional Manager,2025-04-08,12376,Contract,1
EMP-00105,Heba,Al-Sabah,Heba Al-Sabah,F,heba.alsabah539@srg.com.sa,+966579861274,SRG-005,HR,HR Manager,2019-11-25,10682,Full-Time,1
EMP-00106,Mohammed,Al-Saadi,Mohammed Al-Saadi,M,mohammed.alsaadi169@srg.com.sa,+966559729882,SRG-005,IT Support,Systems Administrator,2019-10-18,3613,Part-Time,1
EMP-00107,Bander,Al-Hussein,Bander Al-Hussein,M,bander.alhussein465@srg.com.sa,+966529610869,SRG-005,HR,HR Coordinator,2024-08-26,3227,Part-Time,1
EMP-00108,Badr,Al-Khalifa,Badr Al-Khalifa,M,badr.alkhalifa764@srg.com.sa,+966532225232,SRG-005,Management,Store Manager,2022-05-27,8098,Full-Time,1
EMP-00109,Heba,Al-Qahtani,Heba Al-Qahtani,F,heba.alqahtani419@srg.com.sa,+966523272119,SRG-005,IT Support,IT Technician,2017-08-02,4175,Part-Time,1
EMP-00110,Khadija,Al-Baqmi,Khadija Al-Baqmi,F,khadija.albaqmi670@srg.com.sa,+966552990334,SRG-005,Maintenance,Maintenance Supervisor,2017-11-22,12357,Full-Time,1
EMP-00111,Mona,Al-Dosari,Mona Al-Dosari,F,mona.aldosari737@srg.com.sa,+966588115687,SRG-005,Customer Service,Service Representative,2016-05-15,5758,Contract,1
EMP-00112,Faisal,Al-Khalifa,Faisal Al-Khalifa,M,faisal.alkhalifa116@srg.com.sa,+966508033690,SRG-005,Security,Security Guard,2020-04-24,6135,Contract,1
EMP-00113,Nasser,Al-Qahtani,Nasser Al-Qahtani,M,nasser.alqahtani721@srg.com.sa,+966505105957,SRG-005,Cashier,Head Cashier,2016-08-20,10505,Full-Time,1
EMP-00114,Rana,Al-Sabah,Rana Al-Sabah,F,rana.alsabah836@srg.com.sa,+966596350316,SRG-005,Customer Service,Service Representative,2018-09-10,3959,Contract,1
EMP-00115,Rana,Al-Anazi,Rana Al-Anazi,F,rana.alanazi571@srg.com.sa,+966593938247,SRG-005,Inventory,Inventory Controller,2022-05-09,3249,Part-Time,1
EMP-00116,Aisha,Al-Bishi,Aisha Al-Bishi,F,aisha.albishi153@srg.com.sa,+966547315953,SRG-005,Maintenance,Cleaner,2021-12-14,4672,Full-Time,1
EMP-00117,Rana,Al-Baqmi,Rana Al-Baqmi,F,rana.albaqmi423@srg.com.sa,+966569891787,SRG-005,Customer Service,Customer Service Lead,2018-08-02,9607,Full-Time,1
EMP-00118,Sultan,Al-Mutairi,Sultan Al-Mutairi,M,sultan.almutairi95@srg.com.sa,+966584195751,SRG-005,Security,Loss Prevention Officer,2017-08-28,4519,Full-Time,1
EMP-00119,Rasha,Al-Mahmoud,Rasha Al-Mahmoud,F,rasha.almahmoud602@srg.com.sa,+966584640933,SRG-005,Marketing,Marketing Coordinator,2017-04-26,6119,Part-Time,1
EMP-00120,Dana,Al-Sheikh,Dana Al-Sheikh,F,dana.alsheikh773@srg.com.sa,+966575070038,SRG-005,Sales Floor,Senior Sales Associate,2019-12-04,11118,Contract,0
EMP-00121,Hassan,Al-Sheikh,Hassan Al-Sheikh,M,hassan.alsheikh547@srg.com.sa,+966556174467,SRG-005,Customer Service,Service Manager,2021-05-13,23278,Full-Time,1
EMP-00122,Khadija,Al-Harbi,Khadija Al-Harbi,F,khadija.alharbi47@srg.com.sa,+966594712363,SRG-005,HR,Recruiter,2019-06-11,4695,Full-Time,1
EMP-00123,Samar,Al-Sheikh,Samar Al-Sheikh,F,samar.alsheikh236@srg.com.sa,+966565122665,SRG-005,Marketing,Social Media Specialist,2020-03-07,4351,Part-Time,1
EMP-00124,Maha,Al-Juhani,Maha Al-Juhani,F,maha.aljuhani361@srg.com.sa,+966523348114,SRG-005,HR,Training Officer,2023-03-24,6256,Contract,1
EMP-00125,Hatem,Al-Habib,Hatem Al-Habib,M,hatem.alhabib868@srg.com.sa,+966511813936,SRG-005,IT Support,Systems Administrator,2016-09-02,6436,Full-Time,1
EMP-00126,Meshal,Al-Khaldi,Meshal Al-Khaldi,M,meshal.alkhaldi467@srg.com.sa,+966552014184,SRG-005,Customer Service,Service Representative,2018-01-07,5071,Contract,0
EMP-00127,Rasha,Al-Mansour,Rasha Al-Mansour,F,rasha.almansour18@srg.com.sa,+966585609384,SRG-005,Sales Floor,Sales Associate,2024-09-14,3048,Contract,1
EMP-00128,Sami,Al-Saadi,Sami Al-Saadi,M,sami.alsaadi247@srg.com.sa,+966539832465,SRG-005,Maintenance,Maintenance Technician,2017-02-17,3609,Full-Time,1
EMP-00129,Abeer,Al-Malki,Abeer Al-Malki,F,abeer.almalki714@srg.com.sa,+966536032739,SRG-005,Cashier,Senior Cashier,2022-08-19,6992,Full-Time,0
EMP-00130,Khalid,Al-Malki,Khalid Al-Malki,M,khalid.almalki720@srg.com.sa,+966522387242,SRG-005,Maintenance,Maintenance Supervisor,2024-08-02,8309,Part-Time,1
EMP-00131,Wafa,Al-Baqmi,Wafa Al-Baqmi,F,wafa.albaqmi909@srg.com.sa,+966598977571,SRG-005,Cashier,Head Cashier,2016-04-07,10671,Full-Time,1
EMP-00132,Mishari,Al-Sheikh,Mishari Al-Sheikh,M,mishari.alsheikh602@srg.com.sa,+966527682298,SRG-005,Management,Store Manager,2018-06-01,14788,Full-Time,1
EMP-00133,Talal,Al-Saadi,Talal Al-Saadi,M,talal.alsaadi758@srg.com.sa,+966522315798,SRG-006,Maintenance,Cleaner,2024-06-13,6094,Contract,0
EMP-00134,Aisha,Al-Harbi,Aisha Al-Harbi,F,aisha.alharbi629@srg.com.sa,+966597655572,SRG-006,Maintenance,Maintenance Technician,2017-06-20,6149,Full-Time,1
EMP-00135,Abeer,Al-Khalifa,Abeer Al-Khalifa,F,abeer.alkhalifa191@srg.com.sa,+966597376562,SRG-006,HR,HR Manager,2021-09-13,22150,Full-Time,1
EMP-00136,Abeer,Al-Shehri,Abeer Al-Shehri,F,abeer.alshehri803@srg.com.sa,+966527536772,SRG-006,Cashier,Cashier,2020-03-13,5915,Full-Time,1
EMP-00137,Khalid,Al-Rashid,Khalid Al-Rashid,M,khalid.alrashid90@srg.com.sa,+966528230636,SRG-006,Management,Operations Manager,2021-05-04,12341,Part-Time,1
EMP-00138,Noura,Al-Rashid,Noura Al-Rashid,F,noura.alrashid804@srg.com.sa,+966557463219,SRG-006,Cashier,Senior Cashier,2024-02-20,9899,Full-Time,1
EMP-00139,Noor,Al-Juhani,Noor Al-Juhani,F,noor.aljuhani174@srg.com.sa,+966563843767,SRG-006,Cashier,Head Cashier,2024-04-19,9268,Full-Time,1
EMP-00140,Maha,Al-Mansour,Maha Al-Mansour,F,maha.almansour307@srg.com.sa,+966572290526,SRG-006,Inventory,Stock Clerk,2018-07-09,4724,Full-Time,1
EMP-00141,Abdulaziz,Al-Khaldi,Abdulaziz Al-Khaldi,M,abdulaziz.alkhaldi7@srg.com.sa,+966566573679,SRG-006,HR,HR Manager,2023-02-05,17983,Contract,1
EMP-00142,Khadija,Al-Zahrani,Khadija Al-Zahrani,F,khadija.alzahrani618@srg.com.sa,+966539036449,SRG-006,Maintenance,Cleaner,2025-03-10,4313,Full-Time,1
EMP-00143,Lina,Al-Anazi,Lina Al-Anazi,F,lina.alanazi374@srg.com.sa,+966514352088,SRG-006,HR,HR Manager,2021-07-09,20875,Contract,1
EMP-00144,Mishari,Al-Juhani,Mishari Al-Juhani,M,mishari.aljuhani817@srg.com.sa,+966542160289,SRG-006,IT Support,IT Technician,2023-12-07,4795,Part-Time,0
EMP-00145,Huda,Al-Khaldi,Huda Al-Khaldi,F,huda.alkhaldi809@srg.com.sa,+966562240929,SRG-006,Management,Assistant Manager,2020-11-05,21865,Part-Time,1
EMP-00146,Wafa,Al-Malki,Wafa Al-Malki,F,wafa.almalki992@srg.com.sa,+966552425760,SRG-006,IT Support,Systems Administrator,2022-09-02,6238,Full-Time,1
EMP-00147,Lama,Al-Khaldi,Lama Al-Khaldi,F,lama.alkhaldi410@srg.com.sa,+966558221845,SRG-006,Marketing,Marketing Coordinator,2025-11-22,5649,Full-Time,1
